Event,pH,ADD,Intensity,Duration
1,6.500,3.417,0.250,4.000
2,6.500,3.875,0.500,5.000
3,6.500,0.292,0.150,2.000
4,6.500,2.208,0.833,3.000
5,6.500,3.292,0.400,2.000
6,6.500,1.792,0.500,1.000
7,6.500,3.667,0.180,5.000
8,6.500,1.208,1.915,13.000
9,6.500,2.458,0.200,2.000
10,6.500,0.458,1.764,11.000
11,6.500,0.833,0.700,1.000
12,6.500,6.000,0.400,4.000
13,6.500,1.958,0.200,1.000
14,6.500,3.375,0.500,2.000
15,6.500,3.375,1.843,14.000
16,6.500,1.458,0.150,2.000
17,6.500,2.458,0.133,3.000
18,6.500,1.042,0.100,3.000
19,6.500,0.458,0.200,1.000
20,6.500,0.417,0.200,1.000
21,6.500,8.167,0.500,2.000
22,6.500,0.458,1.160,5.000
23,6.500,0.750,0.200,2.000
24,6.500,1.458,0.260,5.000
25,6.500,8.125,1.463,8.000
26,6.500,0.292,0.438,8.000
27,6.500,0.542,0.167,6.000
28,6.500,4.208,0.200,2.000
29,6.500,3.625,0.760,5.000
30,6.500,4.333,0.479,19.000
31,6.500,0.667,0.200,1.000
32,6.500,0.667,0.227,11.000
33,6.500,0.250,0.100,10.000
34,6.500,0.250,0.400,1.000
35,6.500,3.792,0.944,16.000
36,6.500,7.667,1.252,21.000
37,6.500,1.542,0.467,3.000
38,6.500,4.125,0.100,2.000
39,6.500,3.375,0.350,2.000
40,6.500,0.250,0.650,2.000
41,6.500,1.042,0.407,14.000
42,6.500,0.833,1.106,17.000
43,6.500,0.333,0.200,3.000
44,6.500,6.667,0.446,26.000
45,6.500,6.042,0.467,6.000
46,6.500,0.250,0.471,7.000
47,6.500,0.750,0.243,7.000
48,6.500,2.000,0.333,3.000
49,6.500,0.625,1.093,15.000
50,6.500,7.500,0.275,4.000
51,6.500,10.042,0.200,2.000
52,6.500,0.375,0.772,18.000
53,6.500,0.250,0.600,2.000
54,6.500,8.708,0.300,1.000
55,6.500,0.625,0.225,4.000
56,6.500,2.333,0.400,1.000
57,6.500,2.042,0.917,18.000
58,6.500,7.750,0.225,4.000
59,6.500,1.000,0.628,25.000
60,6.500,0.458,0.150,6.000
61,6.500,2.333,0.229,7.000
62,6.500,2.250,0.563,8.000
63,6.500,2.000,0.888,16.000
64,6.500,8.708,0.525,4.000
65,6.500,1.667,0.600,1.000
66,6.500,1.125,0.850,2.000
67,6.500,1.375,0.650,2.000
68,6.500,9.000,0.200,1.000
69,6.500,2.083,0.200,1.000
70,6.500,0.667,0.800,1.000
71,6.500,0.292,0.514,7.000
72,6.500,0.542,1.167,12.000
73,6.500,0.375,0.631,26.000
74,6.500,2.625,0.300,1.000
75,6.500,5.958,0.300,2.000
76,6.500,6.708,0.192,12.000
77,6.500,0.500,0.200,1.000
78,6.500,1.583,0.450,2.000
79,6.500,0.833,0.997,93.000
80,6.500,12.917,0.150,2.000
81,6.500,0.417,0.475,12.000
82,6.500,10.417,0.520,5.000
83,6.500,1.000,0.733,3.000
84,6.500,1.542,0.733,3.000
85,6.500,1.125,0.133,3.000
86,6.500,2.583,0.350,18.000
87,6.500,4.792,0.325,8.000
88,6.500,7.917,0.500,6.000
89,6.500,0.292,0.713,30.000
90,6.500,3.208,0.686,7.000
91,6.500,2.417,0.750,2.000
92,6.500,4.167,0.200,1.000
93,6.500,3.542,2.619,21.000
94,6.500,2.375,1.188,8.000
95,6.500,4.333,1.033,3.000
96,6.500,0.250,0.400,1.000
97,6.500,6.167,0.500,1.000
98,6.500,2.458,0.600,2.000
99,6.500,3.958,0.500,1.000
100,6.500,1.083,2.060,10.000
101,6.500,1.833,0.642,19.000
102,6.500,3.500,1.733,3.000
103,6.500,4.917,0.906,16.000
104,6.500,1.792,0.550,2.000
105,6.500,0.458,1.200,1.000
106,6.500,11.833,0.800,1.000
107,6.500,0.625,1.528,18.000
108,6.500,6.875,0.729,7.000
109,6.500,0.875,0.200,2.000
110,6.500,0.458,2.742,12.000
111,6.500,13.542,0.300,1.000
112,6.500,0.292,0.150,2.000
